id,name,primary_type,secondary_type,color,shape,sprite_file
108,lickitung,normal,,pink,upright,sprites/0108.png
109,koffing,poison,,purple,ball,sprites/0109.png
110,weezing,poison,,purple,heads,sprites/0110.png
111,rhyhorn,ground,rock,gray,quadruped,sprites/0111.png
112,rhydon,ground,rock,gray,upright,sprites/0112.png
113,chansey,normal,,pink,upright,sprites/0113.png
114,tangela,grass,,blue,legs,sprites/0114.png
115,kangaskhan,normal,,brown,upright,sprites/0115.png
116,horsea,water,,blue,blob,sprites/0116.png
117,seadra,water,,blue,blob,sprites/0117.png
118,goldeen,water,,red,fish,sprites/0118.png
119,seaking,water,,red,fish,sprites/0119.png
120,staryu,water,,brown,blob,sprites/0120.png
121,starmie,water,psychic,purple,blob,sprites/0121.png
122,mr-mime,psychic,fairy,pink,humanoid,sprites/0122.png
123,scyther,bug,flying,green,bug-wings,sprites/0123.png
124,jynx,ice,psychic,red,humanoid,sprites/0124.png
125,electabuzz,electric,,yellow,upright,sprites/0125.png
126,magmar,fire,,red,upright,sprites/0126.png
127,pinsir,bug,,brown,humanoid,sprites/0127.png
128,tauros,normal,,brown,quadruped,sprites/0128.png
129,magikarp,water,,red,fish,sprites/0129.png
130,gyarados,water,flying,blue,squiggle,sprites/0130.png
131,lapras,water,ice,blue,fish,sprites/0131.png
132,ditto,normal,,purple,ball,sprites/0132.png
133,eevee,normal,,brown,quadruped,sprites/0133.png
134,vaporeon,water,,blue,quadruped,sprites/0134.png
135,jolteon,electric,,yellow,quadruped,sprites/0135.png
136,flareon,fire,,red,quadruped,sprites/0136.png
137,porygon,normal,,pink,legs,sprites/0137.png
138,omanyte,rock,water,blue,tentacles,sprites/0138.png
139,omastar,rock,water,blue,tentacles,sprites/0139.png
140,kabuto,rock,water,brown,armor,sprites/0140.png
141,kabutops,rock,water,brown,upright,sprites/0141.png
142,aerodactyl,rock,flying,purple,wings,sprites/0142.png
143,snorlax,normal,,black,humanoid,sprites/0143.png
144,articuno,ice,flying,blue,wings,sprites/0144.png
145,zapdos,electric,flying,yellow,wings,sprites/0145.png
146,moltres,fire,flying,yellow,wings,sprites/0146.png
147,dratini,dragon,,blue,squiggle,sprites/0147.png
148,dragonair,dragon,,blue,squiggle,sprites/0148.png
149,dragonite,dragon,flying,brown,upright,sprites/0149.png
150,mewtwo,psychic,,purple,upright,sprites/0150.png
151,mew,psychic,,pink,upright,sprites/0151.png
152,chikorita,grass,,green,quadruped,sprites/0152.png
153,bayleef,grass,,green,quadruped,sprites/0153.png
154,meganium,grass,,green,quadruped,sprites/0154.png
155,cyndaquil,fire,,yellow,humanoid,sprites/0155.png
156,quilava,fire,,yellow,quadruped,sprites/0156.png
157,typhlosion,fire,,yellow,quadruped,sprites/0157.png
158,totodile,water,,blue,upright,sprites/0158.png
159,croconaw,water,,blue,upright,sprites/0159.png
160,feraligatr,water,,blue,upright,sprites/0160.png
161,sentret,normal,,brown,quadruped,sprites/0161.png
162,furret,normal,,brown,quadruped,sprites/0162.png
163,hoothoot,normal,flying,brown,wings,sprites/0163.png
164,noctowl,normal,flying,brown,wings,sprites/0164.png
165,ledyba,bug,flying,red,wings,sprites/0165.png
166,ledian,bug,flying,red,wings,sprites/0166.png
167,spinarak,bug,poison,green,armor,sprites/0167.png
168,ariados,bug,poison,red,armor,sprites/0168.png
169,crobat,poison,flying,purple,bug-wings,sprites/0169.png
170,chinchou,water,electric,blue,fish,sprites/0170.png
171,lanturn,water,electric,blue,fish,sprites/0171.png
172,pichu,electric,,yellow,quadruped,sprites/0172.png
173,cleffa,fairy,,pink,upright,sprites/0173.png
174,igglybuff,normal,fairy,pink,humanoid,sprites/0174.png
175,togepi,fairy,,white,humanoid,sprites/0175.png
176,togetic,fairy,flying,white,humanoid,sprites/0176.png
177,natu,psychic,flying,green,wings,sprites/0177.png
178,xatu,psychic,flying,green,wings,sprites/0178.png
179,mareep,electric,,white,quadruped,sprites/0179.png
180,flaaffy,electric,,pink,upright,sprites/0180.png
181,ampharos,electric,,yellow,upright,sprites/0181.png
182,bellossom,grass,,green,humanoid,sprites/0182.png
183,marill,water,fairy,blue,upright,sprites/0183.png
184,azumarill,water,fairy,blue,upright,sprites/0184.png
185,sudowoodo,rock,,brown,humanoid,sprites/0185.png
186,politoed,water,,green,humanoid,sprites/0186.png
187,hoppip,grass,flying,pink,upright,sprites/0187.png
188,skiploom,grass,flying,green,upright,sprites/0188.png
189,jumpluff,grass,flying,blue,upright,sprites/0189.png
190,aipom,normal,,purple,upright,sprites/0190.png
191,sunkern,grass,,yellow,ball,sprites/0191.png
192,sunflora,grass,,yellow,humanoid,sprites/0192.png
193,yanma,bug,flying,red,bug-wings,sprites/0193.png
194,wooper,water,ground,blue,legs,sprites/0194.png
195,quagsire,water,ground,blue,upright,sprites/0195.png
196,espeon,psychic,,purple,quadruped,sprites/0196.png
197,umbreon,dark,,black,quadruped,sprites/0197.png
198,murkrow,dark,flying,black,wings,sprites/0198.png
199,slowking,water,psychic,pink,upright,sprites/0199.png
200,misdreavus,ghost,,gray,ball,sprites/0200.png
201,unown,psychic,,black,ball,sprites/0201.png
202,wobbuffet,psychic,,blue,blob,sprites/0202.png
203,girafarig,normal,psychic,yellow,quadruped,sprites/0203.png
204,pineco,bug,,gray,ball,sprites/0204.png
205,forretress,bug,steel,purple,ball,sprites/0205.png
206,dunsparce,normal,,yellow,squiggle,sprites/0206.png
207,gligar,ground,flying,purple,wings,sprites/0207.png
208,steelix,steel,ground,gray,squiggle,sprites/0208.png
209,snubbull,fairy,,pink,humanoid,sprites/0209.png
210,granbull,fairy,,purple,upright,sprites/0210.png
211,qwilfish,water,poison,gray,fish,sprites/0211.png
212,scizor,bug,steel,red,bug-wings,sprites/0212.png
213,shuckle,bug,rock,yellow,armor,sprites/0213.png
214,heracross,bug,fighting,blue,humanoid,sprites/0214.png
215,sneasel,dark,ice,black,upright,sprites/0215.png
216,teddiursa,normal,,brown,upright,sprites/0216.png
217,ursaring,normal,,brown,upright,sprites/0217.png
218,slugma,fire,,red,squiggle,sprites/0218.png
219,magcargo,fire,rock,red,squiggle,sprites/0219.png
220,swinub,ice,ground,brown,quadruped,sprites/0220.png
221,piloswine,ice,ground,brown,quadruped,sprites/0221.png
222,corsola,water,rock,pink,armor,sprites/0222.png
223,remoraid,water,,gray,fish,sprites/0223.png
224,octillery,water,,red,tentacles,sprites/0224.png
225,delibird,ice,flying,red,wings,sprites/0225.png
226,mantine,water,flying,purple,wings,sprites/0226.png
227,skarmory,steel,flying,gray,wings,sprites/0227.png
228,houndour,dark,fire,black,quadruped,sprites/0228.png
229,houndoom,dark,fire,black,quadruped,sprites/0229.png
230,kingdra,water,dragon,blue,blob,sprites/0230.png
231,phanpy,ground,,blue,quadruped,sprites/0231.png
232,donphan,ground,,gray,quadruped,sprites/0232.png
233,porygon2,normal,,red,legs,sprites/0233.png
234,stantler,normal,,brown,quadruped,sprites/0234.png
235,smeargle,normal,,white,upright,sprites/0235.png
236,tyrogue,fighting,,purple,humanoid,sprites/0236.png
237,hitmontop,fighting,,brown,upright,sprites/0237.png
238,smoochum,ice,psychic,pink,humanoid,sprites/0238.png
239,elekid,electric,,yellow,humanoid,sprites/0239.png
240,magby,fire,,red,upright,sprites/0240.png
241,miltank,normal,,pink,upright,sprites/0241.png
242,blissey,normal,,pink,humanoid,sprites/0242.png
243,raikou,electric,,yellow,quadruped,sprites/0243.png
244,entei,fire,,brown,quadruped,sprites/0244.png
245,suicune,water,,blue,quadruped,sprites/0245.png
246,larvitar,rock,ground,green,upright,sprites/0246.png
247,pupitar,rock,ground,gray,squiggle,sprites/0247.png
248,tyranitar,rock,dark,green,upright,sprites/0248.png
249,lugia,psychic,flying,white,wings,sprites/0249.png
250,ho-oh,fire,flying,red,wings,sprites/0250.png
251,celebi,psychic,grass,green,humanoid,sprites/0251.png
252,treecko,grass,,green,upright,sprites/0252.png
253,grovyle,grass,,green,upright,sprites/0253.png
254,sceptile,grass,,green,upright,sprites/0254.png
255,torchic,fire,,red,legs,sprites/0255.png
256,combusken,fire,fighting,red,upright,sprites/0256.png
257,blaziken,fire,fighting,red,upright,sprites/0257.png
258,mudkip,water,,blue,quadruped,sprites/0258.png
259,marshtomp,water,ground,blue,upright,sprites/0259.png
260,swampert,water,ground,blue,upright,sprites/0260.png
261,poochyena,dark,,gray,quadruped,sprites/0261.png
262,mightyena,dark,,gray,quadruped,sprites/0262.png
263,zigzagoon,normal,,brown,quadruped,sprites/0263.png
264,linoone,normal,,white,quadruped,sprites/0264.png
265,wurmple,bug,,red,armor,sprites/0265.png
266,silcoon,bug,,white,ball,sprites/0266.png
267,beautifly,bug,flying,yellow,bug-wings,sprites/0267.png
268,cascoon,bug,,purple,ball,sprites/0268.png
269,dustox,bug,poison,green,bug-wings,sprites/0269.png
270,lotad,water,grass,green,armor,sprites/0270.png
271,lombre,water,grass,green,humanoid,sprites/0271.png
272,ludicolo,water,grass,green,humanoid,sprites/0272.png
273,seedot,grass,,brown,legs,sprites/0273.png
274,nuzleaf,grass,dark,brown,humanoid,sprites/0274.png
275,shiftry,grass,dark,brown,humanoid,sprites/0275.png
276,taillow,normal,flying,blue,wings,sprites/0276.png
277,swellow,normal,flying,blue,wings,sprites/0277.png
278,wingull,water,flying,white,wings,sprites/0278.png
279,pelipper,water,flying,yellow,wings,sprites/0279.png
280,ralts,psychic,fairy,white,humanoid,sprites/0280.png
281,kirlia,psychic,fairy,white,humanoid,sprites/0281.png
282,gardevoir,psychic,fairy,white,humanoid,sprites/0282.png
283,surskit,bug,water,blue,armor,sprites/0283.png
284,masquerain,bug,flying,blue,bug-wings,sprites/0284.png
285,shroomish,grass,,brown,legs,sprites/0285.png
286,breloom,grass,fighting,green,upright,sprites/0286.png
287,slakoth,normal,,brown,quadruped,sprites/0287.png
288,vigoroth,normal,,white,upright,sprites/0288.png
289,slaking,normal,,brown,humanoid,sprites/0289.png
290,nincada,bug,ground,gray,armor,sprites/0290.png
291,ninjask,bug,flying,yellow,bug-wings,sprites/0291.png
292,shedinja,bug,ghost,brown,blob,sprites/0292.png
293,whismur,normal,,pink,upright,sprites/0293.png
294,loudred,normal,,blue,upright,sprites/0294.png
295,exploud,normal,,blue,upright,sprites/0295.png
296,makuhita,fighting,,yellow,humanoid,sprites/0296.png
297,hariyama,fighting,,brown,humanoid,sprites/0297.png
298,azurill,normal,fairy,blue,legs,sprites/0298.png
299,nosepass,rock,,gray,humanoid,sprites/0299.png
300,skitty,normal,,pink,quadruped,sprites/0300.png
301,delcatty,normal,,purple,quadruped,sprites/0301.png
302,sableye,dark,ghost,purple,humanoid,sprites/0302.png
303,mawile,steel,fairy,black,humanoid,sprites/0303.png
304,aron,steel,rock,gray,quadruped,sprites/0304.png
305,lairon,steel,rock,gray,quadruped,sprites/0305.png
306,aggron,steel,rock,gray,upright,sprites/0306.png
307,meditite,fighting,psychic,blue,humanoid,sprites/0307.png
308,medicham,fighting,psychic,red,humanoid,sprites/0308.png
309,electrike,electric,,green,quadruped,sprites/0309.png
310,manectric,electric,,yellow,quadruped,sprites/0310.png
311,plusle,electric,,yellow,upright,sprites/0311.png
312,minun,electric,,yellow,upright,sprites/0312.png
313,volbeat,bug,,gray,upright,sprites/0313.png
314,illumise,bug,,purple,humanoid,sprites/0314.png
315,roselia,grass,poison,green,humanoid,sprites/0315.png
316,gulpin,poison,,green,arms,sprites/0316.png
317,swalot,poison,,purple,arms,sprites/0317.png
318,carvanha,water,dark,red,fish,sprites/0318.png
319,sharpedo,water,dark,blue,fish,sprites/0319.png
320,wailmer,water,,blue,fish,sprites/0320.png
321,wailord,water,,blue,fish,sprites/0321.png
322,numel,fire,ground,yellow,quadruped,sprites/0322.png
323,camerupt,fire,ground,red,quadruped,sprites/0323.png
324,torkoal,fire,,brown,quadruped,sprites/0324.png
325,spoink,psychic,,black,arms,sprites/0325.png
326,grumpig,psychic,,purple,upright,sprites/0326.png
327,spinda,normal,,brown,upright,sprites/0327.png
328,trapinch,ground,,brown,armor,sprites/0328.png
329,vibrava,ground,dragon,green,bug-wings,sprites/0329.png
330,flygon,ground,dragon,green,wings,sprites/0330.png
331,cacnea,grass,,green,humanoid,sprites/0331.png
332,cacturne,grass,dark,green,humanoid,sprites/0332.png
333,swablu,normal,flying,blue,wings,sprites/0333.png
334,altaria,dragon,flying,blue,wings,sprites/0334.png
335,zangoose,normal,,white,upright,sprites/0335.png
336,seviper,poison,,black,squiggle,sprites/0336.png
337,lunatone,rock,psychic,yellow,ball,sprites/0337.png
338,solrock,rock,psychic,red,ball,sprites/0338.png
339,barboach,water,ground,gray,fish,sprites/0339.png
340,whiscash,water,ground,blue,fish,sprites/0340.png
341,corphish,water,,red,armor,sprites/0341.png
342,crawdaunt,water,dark,red,armor,sprites/0342.png
343,baltoy,ground,psychic,brown,arms,sprites/0343.png
344,claydol,ground,psychic,black,arms,sprites/0344.png
345,lileep,rock,grass,purple,blob,sprites/0345.png
346,cradily,rock,grass,green,blob,sprites/0346.png
347,anorith,rock,bug,gray,armor,sprites/0347.png
348,armaldo,rock,bug,gray,upright,sprites/0348.png
349,feebas,water,,brown,fish,sprites/0349.png
350,milotic,water,,pink,squiggle,sprites/0350.png
351,castform,normal,,gray,ball,sprites/0351.png
352,kecleon,normal,,green,upright,sprites/0352.png
353,shuppet,ghost,,black,ball,sprites/0353.png
354,banette,ghost,,black,upright,sprites/0354.png
355,duskull,ghost,,black,arms,sprites/0355.png
356,dusclops,ghost,,black,humanoid,sprites/0356.png
357,tropius,grass,flying,green,quadruped,sprites/0357.png
358,chimecho,psychic,,blue,arms,sprites/0358.png
359,absol,dark,,white,quadruped,sprites/0359.png
360,wynaut,psychic,,blue,upright,sprites/0360.png
361,snorunt,ice,,gray,humanoid,sprites/0361.png
362,glalie,ice,,gray,ball,sprites/0362.png
363,spheal,ice,water,blue,fish,sprites/0363.png
364,sealeo,ice,water,blue,fish,sprites/0364.png
365,walrein,ice,water,blue,quadruped,sprites/0365.png
366,clamperl,water,,blue,ball,sprites/0366.png
367,huntail,water,,blue,squiggle,sprites/0367.png
368,gorebyss,water,,pink,squiggle,sprites/0368.png
369,relicanth,water,rock,gray,fish,sprites/0369.png
370,luvdisc,water,,pink,fish,sprites/0370.png
371,bagon,dragon,,blue,humanoid,sprites/0371.png
372,shelgon,dragon,,white,quadruped,sprites/0372.png
373,salamence,dragon,flying,blue,quadruped,sprites/0373.png
374,beldum,steel,psychic,blue,blob,sprites/0374.png
375,metang,steel,psychic,blue,arms,sprites/0375.png
376,metagross,steel,psychic,blue,heads,sprites/0376.png
377,regirock,rock,,brown,humanoid,sprites/0377.png
378,regice,ice,,blue,humanoid,sprites/0378.png
379,registeel,steel,,gray,humanoid,sprites/0379.png
380,latias,dragon,psychic,red,wings,sprites/0380.png
381,latios,dragon,psychic,blue,wings,sprites/0381.png
382,kyogre,water,,blue,fish,sprites/0382.png
383,groudon,ground,,red,upright,sprites/0383.png
384,rayquaza,dragon,flying,green,squiggle,sprites/0384.png
385,jirachi,steel,psychic,yellow,humanoid,sprites/0385.png
386,deoxys-normal,psychic,,red,humanoid,sprites/0386.png
387,turtwig,grass,,green,quadruped,sprites/0387.png
388,grotle,grass,,green,quadruped,sprites/0388.png
389,torterra,grass,ground,green,quadruped,sprites/0389.png
390,chimchar,fire,,brown,upright,sprites/0390.png
391,monferno,fire,fighting,brown,upright,sprites/0391.png
392,infernape,fire,fighting,brown,upright,sprites/0392.png
393,piplup,water,,blue,humanoid,sprites/0393.png
394,prinplup,water,,blue,upright,sprites/0394.png
395,empoleon,water,steel,blue,upright,sprites/0395.png
396,starly,normal,flying,brown,wings,sprites/0396.png
397,staravia,normal,flying,brown,wings,sprites/0397.png
398,staraptor,normal,flying,brown,wings,sprites/0398.png
399,bidoof,normal,,brown,quadruped,sprites/0399.png
400,bibarel,normal,water,brown,upright,sprites/0400.png
401,kricketot,bug,,red,humanoid,sprites/0401.png
402,kricketune,bug,,red,bug-wings,sprites/0402.png
403,shinx,electric,,blue,quadruped,sprites/0403.png
404,luxio,electric,,blue,quadruped,sprites/0404.png
405,luxray,electric,,blue,quadruped,sprites/0405.png
406,budew,grass,poison,green,humanoid,sprites/0406.png
407,roserade,grass,poison,green,humanoid,sprites/0407.png
408,cranidos,rock,,blue,upright,sprites/0408.png
409,rampardos,rock,,blue,upright,sprites/0409.png
410,shieldon,rock,steel,gray,quadruped,sprites/0410.png
411,bastiodon,rock,steel,gray,quadruped,sprites/0411.png
412,burmy,bug,,green,blob,sprites/0412.png
413,wormadam-plant,bug,grass,green,blob,sprites/0413.png
414,mothim,bug,flying,yellow,bug-wings,sprites/0414.png
415,combee,bug,flying,yellow,heads,sprites/0415.png
416,vespiquen,bug,flying,yellow,bug-wings,sprites/0416.png
417,pachirisu,electric,,white,quadruped,sprites/0417.png
418,buizel,water,,brown,quadruped,sprites/0418.png
419,floatzel,water,,brown,quadruped,sprites/0419.png
420,cherubi,grass,,pink,heads,sprites/0420.png
421,cherrim,grass,,purple,legs,sprites/0421.png
422,shellos,water,,purple,squiggle,sprites/0422.png
423,gastrodon,water,ground,purple,squiggle,sprites/0423.png
424,ambipom,normal,,purple,upright,sprites/0424.png
425,drifloon,ghost,flying,purple,arms,sprites/0425.png
426,drifblim,ghost,flying,purple,arms,sprites/0426.png
427,buneary,normal,,brown,upright,sprites/0427.png
428,lopunny,normal,,brown,upright,sprites/0428.png
429,mismagius,ghost,,purple,ball,sprites/0429.png
430,honchkrow,dark,flying,black,wings,sprites/0430.png
431,glameow,normal,,gray,quadruped,sprites/0431.png
432,purugly,normal,,gray,quadruped,sprites/0432.png
433,chingling,psychic,,yellow,humanoid,sprites/0433.png
434,stunky,poison,dark,purple,quadruped,sprites/0434.png
435,skuntank,poison,dark,purple,quadruped,sprites/0435.png
436,bronzor,steel,psychic,green,ball,sprites/0436.png
437,bronzong,steel,psychic,green,arms,sprites/0437.png
438,bonsly,rock,,brown,legs,sprites/0438.png
439,mime-jr,psychic,fairy,pink,humanoid,sprites/0439.png
440,happiny,normal,,pink,humanoid,sprites/0440.png
441,chatot,normal,flying,black,wings,sprites/0441.png
442,spiritomb,ghost,dark,purple,blob,sprites/0442.png
443,gible,dragon,ground,blue,upright,sprites/0443.png
444,gabite,dragon,ground,blue,upright,sprites/0444.png
445,garchomp,dragon,ground,blue,upright,sprites/0445.png
446,munchlax,normal,,black,humanoid,sprites/0446.png
447,riolu,fighting,,blue,upright,sprites/0447.png
448,lucario,fighting,steel,blue,upright,sprites/0448.png
449,hippopotas,ground,,brown,quadruped,sprites/0449.png
450,hippowdon,ground,,brown,quadruped,sprites/0450.png
451,skorupi,poison,bug,purple,armor,sprites/0451.png
452,drapion,poison,dark,purple,armor,sprites/0452.png
453,croagunk,poison,fighting,blue,humanoid,sprites/0453.png
454,toxicroak,poison,fighting,blue,humanoid,sprites/0454.png
455,carnivine,grass,,green,tentacles,sprites/0455.png
456,finneon,water,,blue,fish,sprites/0456.png
457,lumineon,water,,blue,fish,sprites/0457.png
458,mantyke,water,flying,blue,wings,sprites/0458.png
459,snover,grass,ice,white,upright,sprites/0459.png
460,abomasnow,grass,ice,white,upright,sprites/0460.png
461,weavile,dark,ice,black,upright,sprites/0461.png
462,magnezone,electric,steel,gray,arms,sprites/0462.png
463,lickilicky,normal,,pink,humanoid,sprites/0463.png
464,rhyperior,ground,rock,gray,upright,sprites/0464.png
465,tangrowth,grass,,blue,humanoid,sprites/0465.png
466,electivire,electric,,yellow,upright,sprites/0466.png
467,magmortar,fire,,red,upright,sprites/0467.png
468,togekiss,fairy,flying,white,wings,sprites/0468.png
469,yanmega,bug,flying,green,bug-wings,sprites/0469.png
470,leafeon,grass,,green,quadruped,sprites/0470.png
471,glaceon,ice,,blue,quadruped,sprites/0471.png
472,gliscor,ground,flying,purple,wings,sprites/0472.png
473,mamoswine,ice,ground,brown,quadruped,sprites/0473.png
474,porygon-z,normal,,red,arms,sprites/0474.png
475,gallade,psychic,fighting,white,humanoid,sprites/0475.png
476,probopass,rock,steel,gray,heads,sprites/0476.png
477,dusknoir,ghost,,black,arms,sprites/0477.png
478,froslass,ice,ghost,white,arms,sprites/0478.png
479,rotom,electric,ghost,red,ball,sprites/0479.png
480,uxie,psychic,,yellow,upright,sprites/0480.png
481,mesprit,psychic,,pink,upright,sprites/0481.png
482,azelf,psychic,,blue,upright,sprites/0482.png
483,dialga,steel,dragon,white,quadruped,sprites/0483.png
484,palkia,water,dragon,purple,upright,sprites/0484.png
485,heatran,fire,steel,brown,quadruped,sprites/0485.png
486,regigigas,normal,,white,humanoid,sprites/0486.png
487,giratina-altered,ghost,dragon,black,tentacles,sprites/0487.png
488,cresselia,psychic,,yellow,squiggle,sprites/0488.png
489,phione,water,,blue,arms,sprites/0489.png
490,manaphy,water,,blue,humanoid,sprites/0490.png
491,darkrai,dark,,black,humanoid,sprites/0491.png
492,shaymin-land,grass,,green,quadruped,sprites/0492.png
493,arceus,normal,,white,quadruped,sprites/0493.png
494,victini,psychic,fire,yellow,humanoid,sprites/0494.png
495,snivy,grass,,green,upright,sprites/0495.png
496,servine,grass,,green,upright,sprites/0496.png
497,serperior,grass,,green,squiggle,sprites/0497.png
498,tepig,fire,,red,quadruped,sprites/0498.png
499,pignite,fire,fighting,red,upright,sprites/0499.png
500,emboar,fire,fighting,red,upright,sprites/0500.png
501,oshawott,water,,blue,upright,sprites/0501.png
502,dewott,water,,blue,upright,sprites/0502.png
503,samurott,water,,blue,quadruped,sprites/0503.png
504,patrat,normal,,brown,quadruped,sprites/0504.png
505,watchog,normal,,brown,upright,sprites/0505.png
506,lillipup,normal,,brown,quadruped,sprites/0506.png
507,herdier,normal,,gray,quadruped,sprites/0507.png
508,stoutland,normal,,gray,quadruped,sprites/0508.png
509,purrloin,dark,,purple,quadruped,sprites/0509.png
